7371
0	23461.9
0.244212	2653.16
0.512846	1952.24
0.808342	1164.53
1.13339	856.313
1.49094	647.158
1.88425	511.808
2.31688	414.35
2.79278	341.938
3.31627	286.077
3.89211	241.908
4.52554	206.25
5.2223	176.985
5.98874	152.641
6.83183	132.159
7.75923	114.765
8.77936	99.8728
9.90151	87.0366
11.1359	75.9079
12.4937	66.2118
13.9873	57.7281
15.6302	50.279
17.4374	43.7193
19.4254	37.9294
21.6121	32.8101
24.0175	28.2787
26.6635	24.2659
29.5741	20.7135
32.7757	17.5721
36.2975	14.7999
40.1714	12.3614
44.4328	10.2259
49.1203	8.36683
54.2765	6.76075
59.9484	5.38635
66.1874	4.2238
73.0504	3.25403
80.5997	2.45823
88.9038	1.8175
98.0384	1.31275
108.086	0.9248
119.139	0.634735
131.297	0.424381
144.671	0.276852
159.383	0.177056
175.565	0.112083
193.366	0.0714058
212.947	0.0468726
234.486	0.0325175
258.179	0.0242325
284.241	0.0193684
312.909	0.0163343
344.444	0.0142442
379.133	0.0126419
417.29	0.0113093
459.263	0.0101478
505.434	0.00911304
556.221	0.00818261
612.088	0.00734284
673.541	0.00658352
741.139	0.00589618
815.497	0.00527346
897.291	0.0047089
987.264	0.00419676
1086.24	0.00373193
1195.1	0.00330983
1314.86	0.00292633
1446.59	0.00257774
1591.49	0.00226067
1750.88	0.00197209
1926.22	0.00170921
2119.08	0.00146948
2331.23	0.00125054
2564.6	0.00105022
2821.31	0.000866446
3103.68	0.000697268
3414.29	0.000540759
3755.97	0.000394977
4131.81	0.000257873
4545.23	0.000127144
5000	2.54277e-19
0	13510.2
0.244212	3567.93
0.512846	1786.96
0.808342	1191.33
1.13339	849.26
1.49094	647.92
1.88425	511.279
2.31688	414.271
2.79278	341.844
3.31627	286.032
3.89211	241.877
4.52554	206.23
5.2223	176.973
5.98874	152.632
6.83183	132.154
7.75923	114.761
8.77936	99.8701
9.90151	87.0347
11.1359	75.9066
12.4937	66.2108
13.9873	57.7274
15.6302	50.2786
17.4374	43.719
19.4254	37.9291
21.6121	32.8099
24.0175	28.2785
26.6635	24.2658
29.5741	20.7134
32.7757	17.572
36.2975	14.7998
40.1714	12.3613
44.4328	10.2258
49.1203	8.36681
54.2765	6.76074
