1	6
3.5	5.33013
5.33013	3.5
6	1
1	6.19261
3.59631	5.49694
5.49694	3.59631
6.19261	1
1	6.42375
3.71188	5.69711
5.69711	3.71188
6.42375	1
1	6.70111
3.85056	5.93731
5.93731	3.85056
6.70111	1
1	7.03395
4.01698	6.22555
6.22555	4.01698
7.03395	1
1	7.43335
4.21668	6.57145
6.57145	4.21668
7.43335	1
1	7.91264
4.45632	6.98652
6.98652	4.45632
7.91264	1
1	8.48778
4.74389	7.48461
7.48461	4.74389
8.48778	1
1	9.17795
5.08898	8.08231
8.08231	5.08898
9.17795	1
1	10.0062
5.50308	8.79956
8.79956	5.50308
10.0062	1
1	11
6	9.66025
9.66025	6
11	1
